state,county,school_name,vaccination_rate,num_students,school_id
UT,Salt Lake,"Academy For Math, Engineering,& Science (Ames)",0.9677,500,UT-00001
UT,Salt Lake,Academy Park School,0.9509,500,UT-00002
UT,Davis,Adams Elementary (Davis),0.9673,500,UT-00003
UT,Cache,Adams Elementary (Cache),0.9414,500,UT-00004
UT,Davis,Adelaide Elementary,0.968,500,UT-00005
UT,Box Elder,Adele C. Young Intermediate,0.9313,500,UT-00006
UT,Salt Lake,Advantage Arts Academy,0.8646,500,UT-00007
UT,San Juan,Albert R. Lyman Middle School,1,500,UT-00008
UT,Salt Lake,Albion Middle School,0.9768,500,UT-00009
UT,Box Elder,Alice C. Harris Intermediate,0.9593,500,UT-00010
UT,Tooele,Alpine Academy (High School),1,500,UT-00011
UT,Tooele,Alpine Academy (Middle School),1,500,UT-00012
UT,Utah,Alpine Online Elementary School,0.8304,500,UT-00013
UT,Utah,Alpine Online Middle School,0.9043,500,UT-00014
UT,Utah,Alpine Elementary,0.929,500,UT-00015
UT,Salt Lake,Alta High School,0.951,500,UT-00016
UT,Salt Lake,Alta View Elementary,0.9516,500,UT-00017
UT,Duchesne,Altamont High School,0.9076,500,UT-00018
UT,Duchesne,Altamont Middle School,0.5543,500,UT-00019
UT,Duchesne,Altamont Elementary School,0.8527,500,UT-00020
UT,Salt Lake,Altara Elementary,0.9679,500,UT-00021
UT,Utah,Amelia Earhart Elementary,0.9526,500,UT-00022
UT,Salt Lake,American Academy Of Innovation,0.9921,500,UT-00023
UT,Utah,American Fork High School,0.9536,500,UT-00024
UT,Utah,American Fork Jr High School,0.9037,500,UT-00025
UT,Utah,American Heritage Elementary School (Utah),0.7441,500,UT-00026
UT,Utah,American Heritage High School (Utah),0.9144,500,UT-00027
UT,Utah,American Heritage Middle School (Utah),0.8444,500,UT-00028
UT,Salt Lake,Anthem Prepartory (Elementary School),0.8269,500,UT-00029
UT,Salt Lake,Anthem Prepartory (High School),0.8056,500,UT-00030
UT,Salt Lake,Anthem Prepartory (Middle School),0.8444,500,UT-00031
UT,Utah,American Leadership Academy (Elementary School),0.9185,500,UT-00032
UT,Utah,American Leadership Academy (High School),0.9314,500,UT-00033
