state,county,school_name,vaccination_rate,num_students,school_id
AL,AUTAUGA,AUTAUGA ACADEMY,0.929958333333333,500,AL-00001
AL,AUTAUGA,AUTAUGAVILLE SCHOOL,0.993153846153846,500,AL-00002
AL,AUTAUGA,BILLINGSLEY HIGH SCHOOL,0.978284615384615,500,AL-00003
AL,AUTAUGA,DANIEL PRATT ELEMENTARY SCHOOL,0.980133333333333,500,AL-00004
AL,AUTAUGA,FIRST BAPTIST PRESCHOOL & KINDERGAR,0.7391,500,AL-00005
AL,AUTAUGA,MARBURY HIGH SCHOOL,0.990433333333333,500,AL-00006
AL,AUTAUGA,MARBURY MIDDLE SCHOOL,0.98845,500,AL-00007
AL,AUTAUGA,PINE LEVEL ELEMENTARY SCHOOL,0.966466666666667,500,AL-00008
AL,AUTAUGA,PRATTVILLE ELEMENTARY SCHOOL,0.9818,500,AL-00009
AL,AUTAUGA,PRATTVILLE HIGH SCHOOL,0.982333333333333,500,AL-00010
AL,AUTAUGA,PRATTVILLE INTERMEDIATE SCHOOL,0.99155,500,AL-00011
AL,AUTAUGA,PRATTVILLE JUNIOR HIGH SCHOOL,0.98675,500,AL-00012
AL,AUTAUGA,PRATTVILLE KINDERGARTEN SCHOOL,0.88996,500,AL-00013
AL,AUTAUGA,PRATTVILLE PRIMARY SCHOOL,0.988233333333333,500,AL-00014
AL,BALDWIN,BALDWIN COUNTY HIGH SCHOOL,0.989775,500,AL-00015
AL,BALDWIN,BALDWIN COUNTY VIRTUAL SCHOOL,0.950283333333333,500,AL-00016
AL,BALDWIN,BALDWIN COUNTY VIRTUAL SECONDARY SCHOOL,0.9705,500,AL-00017
AL,BALDWIN,BALDWIN PREPARATORY ACADEMY,0.826033333333333,500,AL-00018
AL,BALDWIN,BAY MINETTE ELEMENTARY SCHOOL,0.994128571428572,500,AL-00019
AL,BALDWIN,BAY MINETTE MIDDLE SCHOOL,0.993,500,AL-00020
AL,BALDWIN,BAYSHORE CHRISTIAN SCHOOL,0.843707692307692,500,AL-00021
AL,BALDWIN,BAYSIDE ACADEMY,0.973415384615384,500,AL-00022
AL,BALDWIN,BELFOREST ELEMENTARY SCHOOL,0.945085714285714,500,AL-00023
AL,BALDWIN,CENTRAL BALDWIN MIDDLE SCHOOL,0.9842,500,AL-00024
